PRICES ARE IN CAD,,,,,
Component,,Link,Quantity,Total Price,
,,,,,
Frame,,,,,
GT2 Timing Pulley 20T 26 B5,,https://www.aliexpress.com/item/1005001933418605.html?spm=a2g0o.productlist.main.3.4b5959f1cCZtP9&algo_pvid=7ced9452-6a2a-4dde-98fc-ed80a0b752f8&algo_exp_id=7ced9452-6a2a-4dde-98fc-ed80a0b752f8-1&pdp_ext_f=%7B%22order%22%3A%22962%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.13%214.13%21%21%212.82%212.82%21%402101c5ac17415666424817842e02fd%2112000018146726861%21sea%21CA%216156843420%21X&curPageLogUid=Rk1YeO2cAudn&utparam-url=scene%3Asearch%7Cquery_from%3A,5,4.13,
GT2 Timing Pulley 20T 26 B8,,https://www.aliexpress.com/item/1005001933418605.html?spm=a2g0o.productlist.main.3.4b5959f1cCZtP9&algo_pvid=7ced9452-6a2a-4dde-98fc-ed80a0b752f8&algo_exp_id=7ced9452-6a2a-4dde-98fc-ed80a0b752f8-1&pdp_ext_f=%7B%22order%22%3A%22962%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.13%214.13%21%21%212.82%212.82%21%402101c5ac17415666424817842e02fd%2112000018146726861%21sea%21CA%216156843420%21X&curPageLogUid=Rk1YeO2cAudn&utparam-url=scene%3Asearch%7Cquery_from%3A,5,4.39,
GT2 Idler 20T W5 B5,,https://www.aliexpress.com/item/1005007557987612.html?spm=a2g0o.productlist.main.5.24ecd4cbSN3RPT&algo_pvid=9fe7c8dc-8efe-4d63-80d9-d5deced1a7e3&algo_exp_id=9fe7c8dc-8efe-4d63-80d9-d5deced1a7e3-2&pdp_ext_f=%7B%22order%22%3A%22137%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%214.13%214.13%21%21%2120.50%2120.50%21%40210337c117429394521025103ead92%2112000041285813874%21sea%21CA%216156843420%21X&curPageLogUid=8UApsRYshQzE&utparam-url=scene%3Asearch%7Cquery_from%3A,2,4.1,
608ZZ Bearing,,ALREADY OWN,,0,
,,,,,
Print Bed,,,,,
Build Plate 300x300mm,,https://www.aliexpress.com/item/1005007961111389.html?spm=a2g0o.productlist.main.3.4d354d20R2slzq&algo_pvid=bbe72753-0de3-42a4-8cf5-d877b170cd1b&algo_exp_id=bbe72753-0de3-42a4-8cf5-d877b170cd1b-1&pdp_ext_f=%7B%22order%22%3A%22123%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2120.53%2119.48%21%21%21101.89%2196.68%21%402101ec1a17429421273615981e0bdb%2112000043040372448%21sea%21CA%216156843420%21X&curPageLogUid=WopKO694iPeI&utparam-url=scene%3Asearch%7Cquery_from%3A,1,19.48,
MDF 2mm 300x300mm,,https://www.aliexpress.com/item/1005007531045020.html?spm=a2g0o.productlist.main.31.70dd4947kOFrY5&algo_pvid=28eb9833-a6c0-453d-8274-be5bb97b893d&algo_exp_id=28eb9833-a6c0-453d-8274-be5bb97b893d-15&pdp_ext_f=%7B%22order%22%3A%22320%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%218.59%218.59%21%21%2142.32%2142.32%21%402103146c17419181699198571eaef8%2112000041176192141%21sea%21CA%216156843420%21X&curPageLogUid=gGFQgF0tNZop&utparam-url=scene%3Asearch%7Cquery_from%3A,2,8.3,
Y Carriage,,https://www.aliexpress.com/item/1005004883217708.html?spm=a2g0o.productlist.main.1.3c9aRYBHRYBHEy&algo_pvid=4fedc6c6-3150-4491-bb54-84c739e22080&algo_exp_id=4fedc6c6-3150-4491-bb54-84c739e22080-0&pdp_ext_f=%7B%22order%22%3A%2236%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%2128.58%2128.58%21%21%2119.44%2119.44%21%402101eab017419124299215111e3d12%2112000030881121484%21sea%21CA%216156843420%21X&curPageLogUid=nbTEt6iB8CLe&utparam-url=scene%3Asearch%7Cquery_from%3A,1,28.38,
Bed Leveling Screws,,https://www.aliexpress.com/item/1005007924739838.html?spm=a2g0o.productlist.main.5.d26a107fIMcIGq&algo_pvid=8da54ed9-f0e6-4dcc-95ab-30e8e19c8461&algo_exp_id=8da54ed9-f0e6-4dcc-95ab-30e8e19c8461-2&pdp_ext_f=%7B%22order%22%3A%2227%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%218.39%217.67%21%21%2141.64%2138.07%21%402101ea7117429425985795542ec1fc%2112000042869276298%21sea%21CA%216156843420%21X&curPageLogUid=PwnuUW6adZ1s&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-description,1,7.67,
Bed Clips,,https://www.aliexpress.com/item/1005002405273426.html?spm=a2g0o.detail.1000023.2.189e1e957SDfQD,1,5.92,
,,,,,
Printhead,,,,,
